name,style,beer_id,num_files
Santa Teresa Enkel (Chardonnay Barrel Aged),BELGIAN ENKEL / PATERSBIER,1509964,16
Communal,BELGIAN ENKEL / PATERSBIER,260256,16
Cuttings,BELGIAN ENKEL / PATERSBIER,4029589,16
Great Silence,BELGIAN ENKEL / PATERSBIER,2049844,16
Pater Extra,BELGIAN ENKEL / PATERSBIER,2660097,16
Virtue,BELGIAN ENKEL / PATERSBIER,2952655,16
Brother’s Bier,BELGIAN ENKEL / PATERSBIER,3243017,16
Opus Ferum,BELGIAN ENKEL / PATERSBIER,749694,16
The B-Side,BELGIAN ENKEL / PATERSBIER,1381449,16
Coconut Milk Lux,BELGIAN ENKEL / PATERSBIER,2075081,16
Patersbier,BELGIAN ENKEL / PATERSBIER,4364003,16
Father Time,BELGIAN ENKEL / PATERSBIER,3610215,16
Muur,BELGIAN ENKEL / PATERSBIER,1661457,16
Monk,BELGIAN ENKEL / PATERSBIER,2984828,16
Permutation 34,BELGIAN ENKEL / PATERSBIER,2630190,16
Cosmic Gateway,BELGIAN ENKEL / PATERSBIER,4580816,16
Highway of Diamonds,BELGIAN ENKEL / PATERSBIER,4008793,16
It's A Trap,BELGIAN ENKEL / PATERSBIER,3329442,16
Abbey Singel,BELGIAN ENKEL / PATERSBIER,3528902,16
Enlightened Monk,BELGIAN ENKEL / PATERSBIER,3564838,16
Patersbier,BELGIAN ENKEL / PATERSBIER,2933318,16
Hop Pilot #040,BELGIAN ENKEL / PATERSBIER,3171081,16
Codex: Patersbier BA White,BELGIAN ENKEL / PATERSBIER,2322802,16
Lupulinophobia Ver 1,BELGIAN ENKEL / PATERSBIER,1927675,16
